"ORDEN_PRODUCCION","SECUENCIA_PAQUETE","ESTILO","TALLA","PRENDAS","FECHA_TERMINO"
"868809","9","39973","150","12","28/03/2024 13:16:38"
"868810","1","33175","85","39","22/03/2024 2:40:23"
"868810","2","33175","85","7","22/03/2024 10:49:38"
"868810","3","33175","90","40","22/03/2024 14:26:27"
"868810","4","33175","90","40","22/03/2024 1:52:23"
"868810","5","33175","100","40","23/03/2024 16:08:53"
"868810","6","33175","100","40","22/03/2024 3:23:37"
"868810","7","33175","100","11","22/03/2024 13:50:25"
"868810","8","33175","110","40","22/03/2024 0:30:53"
"868810","9","33175","110","40","22/03/2024 14:07:18"
"868810","10","33175","110","24","22/03/2024 11:02:50"
"868810","11","33175","120","40","23/03/2024 16:27:41"
"868810","12","33175","120","40","22/03/2024 4:32:00"
"868811","1","33175","120","40","21/03/2024 18:00:52"
"868811","2","33175","120","16","21/03/2024 17:38:58"
"868811","3","33175","130","40","23/03/2024 15:53:26"
"868811","4","33175","130","40","21/03/2024 19:23:38"
"868811","5","33175","130","37","21/03/2024 20:00:55"
"868811","6","33175","140","40","22/03/2024 10:29:02"
"868811","7","33175","140","40","22/03/2024 13:42:45"
"868811","8","33175","140","14","22/03/2024 9:29:19"
"868811","9","33175","150","40","21/03/2024 18:02:44"
"868811","10","33175","150","36","22/03/2024 12:52:10"
"868811","11","33175","160","39","22/03/2024 8:11:19"
"868811","12","33175","160","26","22/03/2024 10:20:53"
"868817","1","TH8089-51","XS","43","23/04/2024 16:38:25"
"868817","2","TH8089-51","XS","15","25/04/2024 18:20:53"
"868817","3","TH8089-51","S","58","23/04/2024 15:29:53"
"868817","4","TH8089-51","S","43","23/04/2024 15:32:06"
"868817","5","TH8089-51","S","8","23/04/2024 16:48:55"
"868817","6","TH8089-51","S","15","22/04/2024 20:35:45"
"868817","7","TH8089-51","S","15","22/04/2024 20:29:21"
"868817","8","TH8089-51","S","10","23/04/2024 15:13:56"
"868817","9","TH8089-51","S","10","29/04/2024 18:27:26"
"868817","10","TH8089-51","XXL","60","23/04/2024 18:04:49"
"868817","11","TH8089-51","XXL","57","23/04/2024 15:11:44"
"868817","12","TH8089-51","XXL","55","23/04/2024 15:22:30"
"868818","1","TH8089-51","M","61","18/04/2024 13:24:18"
"868818","2","TH8089-51","M","60","23/04/2024 15:48:41"
"868818","3","TH8089-51","M","57","18/04/2024 18:59:20"
"868818","4","TH8089-51","M","60","18/04/2024 13:38:00"
"868818","5","TH8089-51","M","58","18/04/2024 18:04:35"
"868818","6","TH8089-51","M","45","30/04/2024 13:16:51"
"868818","7","TH8089-51","M","14","23/04/2024 15:26:25"
"868818","8","TH8089-51","M","9","23/04/2024 15:54:34"
"868819","1","TH8089-51","L","56","18/04/2024 18:55:26"
"868819","2","TH8089-51","L","58","18/04/2024 15:58:12"
"868819","3","TH8089-51","L","59","18/04/2024 18:49:35"
"868819","4","TH8089-51","L","60","20/04/2024 14:26:41"
"868819","5","TH8089-51","L","60","22/04/2024 20:48:28"
"868819","6","TH8089-51","L","58","18/04/2024 19:06:48"
"868819","7","TH8089-51","L","45","18/04/2024 17:59:56"
"868819","8","TH8089-51","L","46","18/04/2024 16:05:24"
"868819","9","TH8089-51","L","15","22/04/2024 13:39:53"
"868820","1","TH8089-51","XL","58","22/04/2024 14:32:20"
"868820","2","TH8089-51","XL","59","22/04/2024 14:45:57"
"868820","3","TH8089-51","XL","56","22/04/2024 17:06:45"
"868820","4","TH8089-51","XL","56","23/04/2024 13:01:31"
"868820","5","TH8089-51","XL","43","20/04/2024 17:59:16"
"868820","6","TH8089-51","XL","42","22/04/2024 17:30:49"
"868821","1","PJ2909-51","8","3","18/03/2024 15:23:25"
"868821","2","PJ2909-51","16","52","16/03/2024 15:41:49"
"868821","3","PJ2909-51","16","52","18/03/2024 11:12:41"
"868821","4","PJ2909-51","16","52","18/03/2024 14:16:40"
"868821","5","PJ2909-51","16","20","18/03/2024 14:13:03"
"868821","6","PJ2909-51","16","20","18/03/2024 11:13:46"
"868821","7","PJ2909-51","16","15","18/03/2024 14:11:52"
"868821","8","PJ2909-51","16","12","18/03/2024 14:11:51"
"868822","1","TH9668-51","XS","23","10/04/2024 10:02:41"
"868822","2","TH9668-51","XS","13","10/04/2024 10:02:41"
"868822","3","TH9668-51","XS","13","08/04/2024 17:18:58"
"868822","4","TH9668-51","XS","9","09/04/2024 11:54:44"
"868822","5","TH9668-51","S","61","09/04/2024 15:30:15"
"868822","6","TH9668-51","S","64","09/04/2024 13:37:19"
"868823","1","TH9668-51","M","65","06/04/2024 10:38:49"
"868823","2","TH9668-51","M","65","09/04/2024 17:27:28"
"868823","3","TH9668-51","M","65","06/04/2024 13:15:53"
"868823","4","TH9668-51","M","64","06/04/2024 15:56:20"
"868823","5","TH9668-51","M","55","24/04/2024 13:57:45"
"868823","6","TH9668-51","M","21","06/04/2024 14:25:31"
"868823","7","TH9668-51","M","24","06/04/2024 14:25:31"
"868823","8","TH9668-51","M","13","09/04/2024 15:13:04"
"868823","9","TH9668-51","M","12","09/04/2024 16:53:04"
"868823","10","TH9668-51","M","9","09/04/2024 17:00:37"
"868824","1","TH9668-51","L","65","04/04/2024 18:25:38"
"868824","2","TH9668-51","L","65","04/04/2024 16:33:19"
"868824","3","TH9668-51","L","63","04/04/2024 9:22:39"
"868824","4","TH9668-51","L","65","03/04/2024 17:01:44"
"868824","5","TH9668-51","L","65","06/04/2024 15:16:42"
"868824","6","TH9668-51","L","65","03/04/2024 19:32:48"
"868824","7","TH9668-51","L","24","04/04/2024 15:29:19"
"868824","8","TH9668-51","L","24","04/04/2024 15:36:32"
"868824","9","TH9668-51","L","12","04/04/2024 17:05:34"
"868824","10","TH9668-51","L","13","04/04/2024 15:49:55"
"868825","1","TH9668-51","XL","64","03/04/2024 17:16:44"
"868825","2","TH9668-51","XL","65","03/04/2024 17:49:12"
"868825","3","TH9668-51","XL","63","04/04/2024 13:31:26"
"868825","4","TH9668-51","XL","65","04/04/2024 13:40:20"
"868825","5","TH9668-51","XL","13","03/04/2024 18:15:29"
"868825","6","TH9668-51","XL","13","03/04/2024 18:04:18"
"868825","7","TH9668-51","XXL","63","03/04/2024 17:45:13"
"868825","8","TH9668-51","XXL","65","04/04/2024 13:16:13"
"868825","9","TH9668-51","XXL","9","03/04/2024 18:00:09"
"868826","1","TH0884-52","4","75","27/03/2024 16:27:51"
"868826","2","TH0884-52","4","74","27/03/2024 14:43:42"
"868826","3","TH0884-52","5","61","27/03/2024 14:16:02"
"868826","4","TH0884-52","5","62","27/03/2024 15:35:48"
"868826","5","TH0884-52","5","62","27/03/2024 14:06:59"
"868826","6","TH0884-52","6","55","27/03/2024 14:31:26"
"868826","7","TH0884-52","6","55","27/03/2024 14:21:20"
"868826","8","TH0884-52","6","28","27/03/2024 14:49:08"
"868826","9","TH0884-52","7","60","27/03/2024 17:14:39"
"868827","1","TH0884-51","3","22","28/03/2024 15:11:08"
"868827","2","TH0884-51","4","53","28/03/2024 11:35:06"
"868827","3","TH0884-51","5","59","28/03/2024 10:50:12"
"868827","4","TH0884-51","6","44","28/03/2024 13:43:42"
"868827","5","TH0884-51","7","24","28/03/2024 14:18:17"
"868828","1","505542","1X","50","08/04/2024 18:31:25"
"868828","2","505542","1X","26","09/04/2024 11:12:04"
"868828","3","505542","2X","50","09/04/2024 9:47:13"
"868828","4","505542","3X","50","09/04/2024 14:00:08"
"868829","1","505545","SM","26","06/04/2024 15:49:02"
"868829","2","505545","XL","24","06/04/2024 15:43:21"
"868830","1","505543","SM","60","05/04/2024 9:30:46"
"868830","2","505543","SM","36","05/04/2024 10:37:11"
"868830","3","505543","MED","60","04/04/2024 19:00:42"
"868830","4","505543","MED","60","04/04/2024 14:57:38"
"868830","5","505543","MED","60","04/04/2024 15:38:12"
"868830","6","505543","MED","60","04/04/2024 18:12:10"
"868830","7","505543","MED","38","04/04/2024 16:20:57"
"868831","1","505543","LG","60","08/04/2024 18:02:44"
"868831","2","505543","LG","60","06/04/2024 15:32:58"
"868831","3","505543","LG","60","06/04/2024 10:38:02"
"868831","4","505543","LG","60","06/04/2024 15:32:27"
"868831","5","505543","LG","60","06/04/2024 15:24:48"
"868831","6","505543","LG","60","06/04/2024 10:42:55"
"868831","7","505543","LG","18","06/04/2024 10:52:54"
"868832","1","505543","XL","60","02/04/2024 18:57:37"
"868832","2","505543","XL","60","03/04/2024 14:20:27"
"868832","3","505543","XL","60","03/04/2024 14:38:24"
"868832","4","505543","XL","60","02/04/2024 16:18:36"
"868832","5","505543","XL","60","02/04/2024 18:06:26"
"868832","6","505543","XL","52","03/04/2024 8:23:27"
"868833","1","521734","MED","50","30/03/2024 17:02:40"
"868833","2","521734","XL","26","28/03/2024 8:46:46"
"868834","1","300325","XL","51","30/03/2024 17:09:59"
"868835","1","500799","2X","50","28/03/2024 21:31:39"
"868835","2","500799","3X","25","29/03/2024 4:25:05"
"868836","1","207241","1X","7","21/03/2024 18:43:20"
"868836","2","207241","3X","26","25/03/2024 18:27:32"
"868837","1","500798","MED","25","30/03/2024 17:35:20"
"868838","1","207239","1X","25","27/03/2024 9:03:19"
"868838","2","207239","2X","25","27/03/2024 17:58:17"
"868838","3","207239","3X","24","27/03/2024 20:12:23"
"868839","1","500312","XS","25","28/03/2024 6:18:18"
"868839","2","500312","SM","51","28/03/2024 4:31:20"
"868839","3","500312","MED","64","29/03/2024 4:05:34"
"868839","4","500312","MED","63","28/03/2024 4:44:05"
"868839","5","500312","LG","64","28/03/2024 5:10:14"
"868839","6","500312","LG","63","28/03/2024 5:46:18"
"868839","7","500312","XL","51","28/03/2024 5:01:18"
"868840","1","502658","1X","51","30/03/2024 15:03:52"
"868840","2","502658","1X","25","27/03/2024 20:01:31"
"868840","3","502658","2X","49","28/03/2024 9:30:28"
"868840","4","502658","3X","25","28/03/2024 18:10:27"
"868841","1","278729","MED","46","21/03/2024 19:05:01"
"868841","2","278729","LG","25","21/03/2024 19:25:01"
"868842","1","511699","MED","18","23/03/2024 16:00:22"
"868843","1","511708","2X","24","24/03/2024 9:24:53"
"868843","2","511708","3X","24","25/03/2024 14:19:05"
"868844","1","522805","2X","24","30/03/2024 16:00:27"
"868845","1","278716","LG","25","26/03/2024 1:31:42"
"868846","1","501638","XS","25","29/03/2024 0:56:40"
"868846","2","501638","SM","26","29/03/2024 0:54:28"
"868846","3","501638","XL","25","28/03/2024 6:20:13"
"868847","1","501643","LG","25","28/03/2024 6:15:21"
"868847","2","501643","XL","26","28/03/2024 6:41:13"
"868848","1","522811","LG","25","01/04/2024 9:47:12"
"868850","1","300325","XS","15","28/03/2024 19:38:40"
"868850","2","300325","SM","25","28/03/2024 11:39:01"
"868850","3","300325","MED","30","28/03/2024 11:27:47"
"868850","4","300325","LG","25","28/03/2024 13:34:51"
"868850","5","300325","XL","15","28/03/2024 18:56:30"
"868851","1","214949","XS","20","22/03/2024 20:35:27"
"868851","2","214949","SM","30","22/03/2024 14:05:05"
"868851","3","214949","MED","35","22/03/2024 20:32:09"
"868851","4","214949","LG","30","22/03/2024 20:05:08"
"868851","5","214949","XL","20","22/03/2024 20:23:40"
"868852","1","522811","XS","14","28/03/2024 10:38:27"
"868852","2","522811","SM","14","13/06/2024 15:03:07"
"868852","3","522811","MED","14","30/03/2024 10:18:47"
"868852","4","522811","LG","14","28/03/2024 9:41:31"
"868852","5","522811","XL","14","30/03/2024 9:01:48"
"868853","1","518503","1X","3","20/06/2024 17:30:43"
"868853","2","518503","2X","4","20/06/2024 17:31:26"
"868854","1","207240","XS","20","27/03/2024 13:29:11"
"868854","2","207240","SM","30","27/03/2024 13:41:06"
"868854","3","207240","MED","35","27/03/2024 13:36:08"
"868854","4","207240","LG","30","27/03/2024 13:38:47"
"868854","5","207240","XL","20","27/03/2024 13:31:49"
"868855","1","500312","XS","15","26/03/2024 18:46:20"
"868855","2","500312","SM","30","26/03/2024 19:28:51"
"868855","3","500312","MED","38","26/03/2024 19:39:00"
"868855","4","500312","LG","29","26/03/2024 19:58:37"
"868855","5","500312","XL","15","26/03/2024 20:07:43"
"868856","1","207239","1X","14","27/03/2024 18:11:40"
"868856","2","207239","2X","14","27/03/2024 18:17:08"
"868856","3","207239","3X","14","27/03/2024 16:48:25"
"868857","1","511708","1X","14","24/03/2024 8:57:38"
"868857","2","511708","2X","14","24/03/2024 10:07:33"
"868857","3","511708","3X","14","23/03/2024 15:44:33"
"868858","1","298358","XS","8","23/03/2024 11:32:04"
"868858","2","298358","SM","12","22/03/2024 13:26:45"
"868858","3","298358","MED","14","22/03/2024 13:28:25"
"868858","4","298358","LG","12","23/03/2024 11:29:32"
"868858","5","298358","XL","7","23/03/2024 17:09:30"
"868859","1","501229","XS","15","02/04/2024 11:38:06"
"868859","2","501229","SM","30","02/04/2024 12:15:20"
"868859","3","501229","MED","35","02/04/2024 14:27:39"
"868859","4","501229","LG","30","02/04/2024 14:56:17"
"868859","5","501229","XL","15","02/04/2024 14:30:52"
"868860","1","278729","XS","15","27/03/2024 18:14:43"
"868860","2","278729","SM","25","27/03/2024 14:23:17"
"868860","3","278729","MED","30","27/03/2024 13:25:55"
"868860","4","278729","LG","25","27/03/2024 18:21:17"
"868860","5","278729","XL","15","27/03/2024 11:03:07"
"868861","1","214948","1X","30","23/03/2024 11:27:09"
"868861","2","214948","2X","25","22/03/2024 14:27:13"
"868862","1","207239","1X","30","27/03/2024 14:04:26"
"868862","2","207239","2X","30","27/03/2024 14:50:57"
"868863","1","511699","SM","6","23/03/2024 17:27:06"
"868863","2","511699","MED","14","30/03/2024 9:23:15"
"868863","3","511699","LG","6","30/03/2024 8:59:25"
"868863","4","511699","XL","14","22/03/2024 16:09:42"
"868864","1","500312","MED","13","28/03/2024 23:52:50"
"868864","2","500312","LG","9","28/03/2024 23:55:04"
"868865","1","502658","1X","51","29/03/2024 2:38:32"
"868865","2","502658","2X","52","29/03/2024 5:53:28"
"868865","3","502658","3X","25","29/03/2024 1:13:08"
"868866","1","501639","1X","34","30/03/2024 15:50:52"
"868867","1","501645","2X","27","29/03/2024 3:45:12"
"868868","1","207239","1X","27","27/03/2024 18:45:09"
"868869","1","521734","MED","27","01/04/2024 9:49:05"
"868869","2","521734","LG","26","30/03/2024 14:58:40"
"868869","3","521734","XL","50","29/03/2024 3:53:09"
"868870","1","502659","SM","27","30/03/2024 14:52:08"
"868870","2","502659","MED","27","29/03/2024 0:05:52"
"868870","3","502659","LG","27","29/03/2024 2:27:51"
"868871","1","511699","MED","27","22/03/2024 20:11:37"
"868871","2","511699","LG","27","22/03/2024 16:43:36"
"868871","3","511699","XL","25","21/03/2024 16:44:08"
"868872","1","207241","1X","26","28/03/2024 16:45:05"
"868872","2","207241","2X","48","28/03/2024 16:48:30"
"868873","1","507329","XL","26","27/03/2024 14:19:43"
"868874","1","522805","1X","26","30/03/2024 15:17:19"
"868875","1","278716","MED","26","28/03/2024 16:48:10"
"868875","2","278716","LG","25","29/03/2024 5:54:27"
"868875","3","278716","XL","27","28/03/2024 23:53:10"
"868876","1","500799","3X","25","02/04/2024 14:57:26"
"868877","1","502176","XS","25","30/03/2024 11:18:02"
"868877","2","502176","SM","50","30/03/2024 8:00:45"
"868877","3","502176","MED","80","30/03/2024 8:25:28"
"868877","4","502176","MED","48","29/03/2024 3:02:07"
"868877","5","502176","LG","80","29/03/2024 6:10:30"
"868877","6","502176","LG","22","30/03/2024 10:20:04"
"868877","7","502176","XL","70","29/03/2024 1:02:03"
"868877","8","502176","XL","32","29/03/2024 3:22:05"
"868878","1","501643","MED","23","09/04/2024 14:59:36"
"868878","2","501643","LG","27","09/04/2024 15:06:06"
"868878","3","501643","XL","26","09/04/2024 15:55:45"
"868879","1","511705","MED","51","21/03/2024 18:46:44"
"868879","2","511705","LG","51","22/03/2024 20:37:13"
"868879","3","511705","XL","53","26/03/2024 11:35:06"
"868881","1","TH2827-52","3","30","28/03/2024 11:33:16"
"868881","2","TH2827-52","4","57","27/03/2024 22:51:06"
"868881","3","TH2827-52","4","15","28/03/2024 11:30:08"
"868881","4","TH2827-52","5","57","27/03/2024 22:14:12"
"868881","5","TH2827-52","5","15","28/03/2024 11:28:29"
"868881","6","TH2827-52","6","55","28/03/2024 11:39:21"
"868881","7","TH2827-52","7","34","28/03/2024 21:38:59"
"868881","8","TH2827-52","8","12","28/03/2024 11:25:17"
"868881","9","TH2827-52","9","10","28/03/2024 21:40:10"
"868882","1","TH5467-20","3","37","08/04/2024 11:54:05"
"868882","2","TH5467-20","4","55","05/04/2024 16:41:56"
"868882","3","TH5467-20","4","23","04/04/2024 15:34:04"
"868882","4","TH5467-20","5","56","04/04/2024 18:49:46"
"868882","5","TH5467-20","5","23","04/04/2024 19:10:33"
"868882","6","TH5467-20","6","34","12/04/2024 12:26:16"
"868883","1","TH5467-20","7","7","06/04/2024 13:57:02"
"868883","2","TH5467-20","7","12","06/04/2024 13:57:02"
"868884","1","520198","XS","5","08/05/2024 15:52:24"
"868884","2","520198","SM","8","08/05/2024 15:54:46"
"868884","3","520198","MED","9","08/05/2024 15:56:26"
"868884","4","520198","LG","5","08/05/2024 15:58:44"
"868884","5","520198","XL","6","08/05/2024 16:00:54"
"868885","1","33175","85","28","23/03/2024 3:50:15"
"868885","2","33175","85","10","23/03/2024 3:50:14"
"868885","3","33175","90","28","23/03/2024 4:44:56"
"868885","4","33175","90","28","23/03/2024 3:37:26"
"868885","5","33175","90","28","23/03/2024 4:05:25"
"868885","6","33175","90","24","23/03/2024 4:26:02"
"868885","7","33175","100","28","23/03/2024 4:00:54"
"868885","8","33175","100","28","23/03/2024 3:03:01"
"868885","9","33175","100","28","23/03/2024 3:11:16"
"868885","10","33175","100","28","23/03/2024 4:31:02"
"868885","11","33175","100","22","23/03/2024 4:39:38"
"868886","1","39973","100","26","27/03/2024 18:35:13"
"868886","2","39973","100","25","27/03/2024 18:39:11"
"868886","3","39973","100","6","28/03/2024 11:17:21"
"868886","4","39973","100","4","28/03/2024 11:17:21"
"868886","5","39973","110","26","27/03/2024 13:34:47"
"868886","6","39973","110","25","27/03/2024 20:14:38"
"868886","7","39973","110","26","27/03/2024 18:03:13"
"868886","8","39973","110","25","27/03/2024 18:47:08"
"868886","9","39973","110","26","27/03/2024 18:42:38"
"868886","10","39973","110","21","27/03/2024 17:58:25"
"868886","11","39973","120","25","27/03/2024 13:59:47"
"868886","12","39973","120","25","27/03/2024 15:07:20"
"868886","13","39973","120","26","27/03/2024 15:01:47"
"868886","14","39973","120","25","27/03/2024 15:32:48"
"868886","15","39973","120","26","27/03/2024 20:04:31"
"868886","16","39973","120","25","27/03/2024 15:11:30"
"868886","17","39973","120","26","27/03/2024 20:18:18"
"868886","18","39973","120","25","27/03/2024 18:14:04"
"868886","19","39973","120","26","27/03/2024 15:27:45"
"868886","20","39973","120","25","28/03/2024 8:37:05"
"868886","21","39973","120","31","27/03/2024 17:54:11"
"868887","1","39973","130","26","28/03/2024 13:54:33"
"868887","2","39973","130","25","28/03/2024 9:16:03"
"868887","3","39973","130","26","28/03/2024 8:45:46"
"868887","4","39973","130","25","28/03/2024 9:10:49"
"868887","5","39973","130","26","29/03/2024 1:12:51"
"868887","6","39973","130","25","28/03/2024 14:08:23"
"868887","7","39973","130","26","28/03/2024 11:58:14"
"868887","8","39973","130","25","28/03/2024 13:56:42"
"868887","9","39973","130","11","28/03/2024 22:16:10"
"868887","10","39973","140","25","28/03/2024 9:05:08"
"868887","11","39973","140","25","28/03/2024 11:42:08"
"868887","12","39973","140","26","28/03/2024 19:51:18"
"868887","13","39973","140","24","28/03/2024 8:41:56"
"868887","14","39973","140","26","28/03/2024 11:39:38"
"868887","15","39973","140","24","28/03/2024 11:19:50"
"868887","16","39973","140","9","28/03/2024 22:17:34"
"868887","17","39973","150","26","28/03/2024 11:48:28"
"868887","18","39973","150","24","28/03/2024 11:28:02"
"868887","19","39973","150","26","28/03/2024 11:25:15"
"868887","20","39973","150","24","28/03/2024 11:45:02"
"868888","1","TH5077-23","2","9","22/03/2024 12:55:38"
"868888","2","TH5077-23","3","47","22/03/2024 12:53:40"
"868888","3","TH5077-23","4","56","22/03/2024 13:06:44"
"868888","4","TH5077-23","4","47","22/03/2024 14:51:35"
"868888","5","TH5077-23","5","57","22/03/2024 15:04:07"
"868888","6","TH5077-23","5","45","22/03/2024 16:34:00"
"868888","7","TH5077-23","6","57","22/03/2024 19:22:06"
"868888","8","TH5077-23","6","18","22/03/2024 16:21:22"
"868888","9","TH5077-23","7","41","22/03/2024 18:44:28"
"868888","10","TH5077-23","8","22","22/03/2024 18:38:53"
"868888","11","TH5077-23","9","15","22/03/2024 18:42:57"
"868889","1","TH2827-52","3","50","25/03/2024 20:12:29"
"868889","2","TH2827-52","4","56","27/03/2024 13:29:04"
"868889","3","TH2827-52","4","54","26/03/2024 22:09:05"
"868889","4","TH2827-52","4","5","26/03/2024 13:17:43"
"868889","5","TH2827-52","5","58","28/03/2024 20:16:27"
"868889","6","TH2827-52","5","58","26/03/2024 23:36:22"
"868889","7","TH2827-52","5","9","28/03/2024 11:00:31"
"868889","8","TH2827-52","6","56","28/03/2024 6:46:22"
"868889","9","TH2827-52","6","38","27/03/2024 1:41:20"
"868889","10","TH2827-52","7","55","28/03/2024 9:09:09"
"868889","11","TH2827-52","7","2","27/03/2024 15:43:11"
"868889","12","TH2827-52","8","18","27/03/2024 18:50:44"
"868889","13","TH2827-52","9","13","27/03/2024 18:35:06"
"868890","1","TH0884-51","3","76","28/03/2024 17:45:12"
"868890","2","TH0884-51","3","76","28/03/2024 15:09:06"
"868890","3","TH0884-51","3","76","28/03/2024 11:28:12"
"868890","4","TH0884-51","4","73","28/03/2024 21:59:36"
"868890","5","TH0884-51","4","73","28/03/2024 15:48:34"
"868891","1","TH0884-51","4","73","28/03/2024 21:33:35"
"868891","2","TH0884-51","4","73","28/03/2024 21:50:52"
"868891","3","TH0884-51","4","73","29/03/2024 3:56:28"
"868891","4","TH0884-51","4","73","29/03/2024 4:39:57"
"868891","5","TH0884-51","4","69","29/03/2024 1:12:22"
"868891","6","TH0884-51","5","67","29/03/2024 2:06:08"
"868892","1","TH0884-51","5","67","29/03/2024 5:55:14"
"868892","2","TH0884-51","5","67","28/03/2024 19:58:05"
"868892","3","TH0884-51","5","67","29/03/2024 6:28:30"
"868892","4","TH0884-51","5","67","29/03/2024 2:55:57"
"868892","5","TH0884-51","5","67","29/03/2024 4:08:56"
"868892","6","TH0884-51","5","67","29/03/2024 5:08:35"
"868893","1","TH0884-51","5","67","30/03/2024 18:17:32"
"868893","2","TH0884-51","5","31","30/03/2024 20:10:25"
"868893","3","TH0884-51","6","63","30/03/2024 18:20:01"
"868893","4","TH0884-51","6","63","30/03/2024 17:10:30"
"868893","5","TH0884-51","6","63","30/03/2024 17:11:29"
"868893","6","TH0884-51","6","63","30/03/2024 15:57:52"
"868893","7","TH0884-51","6","63","30/03/2024 16:05:58"
"868893","8","TH0884-51","6","45","30/03/2024 20:11:56"
"868894","1","TH0884-51","6","63","30/03/2024 11:02:10"
"868894","2","TH0884-51","7","57","30/03/2024 10:53:54"
"868894","3","TH0884-51","7","57","30/03/2024 13:22:27"
"868894","4","TH0884-51","7","57","30/03/2024 14:50:32"
"868894","5","TH0884-51","7","57","30/03/2024 13:29:44"
"868894","6","TH0884-51","8","57","30/03/2024 10:46:52"
"868894","7","TH0884-51","8","30","30/03/2024 14:42:31"
"868894","8","TH0884-51","9","18","30/03/2024 14:30:53"
"868895","1","TH2827-23","3","24","13/04/2024 16:04:53"
"868895","2","TH2827-23","4","50","16/04/2024 16:32:46"
"868895","3","TH2827-23","5","49","11/04/2024 18:05:46"
"868895","4","TH2827-23","6","32","10/04/2024 19:40:49"
"868895","5","TH2827-23","7","19","16/04/2024 15:36:59"
"868896","1","PH9753-00","3","6","08/04/2024 15:32:33"
"868896","2","PH9753-00","4","12","08/04/2024 16:00:31"
"868896","3","PH9753-00","5","12","09/04/2024 18:40:10"
"868896","4","PH9753-00","5","6","09/04/2024 18:40:10"
"868896","5","PH9753-00","6","12","08/04/2024 15:37:36"
"868896","6","PH9753-00","6","2","08/04/2024 15:37:37"
"868896","7","PH9753-00","7","8","08/04/2024 16:02:47"
"868896","8","PH9753-00","8","2","08/04/2024 15:25:54"
"868897","1","PH9753-00","2","5","25/03/2024 17:29:56"
"868897","2","PH9753-00","3","8","25/03/2024 17:21:53"
"868897","3","PH9753-00","7","3","25/03/2024 17:24:52"
"868898","1","PH9753-00","3","2","25/03/2024 17:20:43"
"868898","2","PH9753-00","4","10","25/03/2024 17:15:22"
"868898","3","PH9753-00","4","7","25/03/2024 17:15:22"
"868898","4","PH9753-00","5","10","25/03/2024 9:32:46"
"868898","5","PH9753-00","5","8","25/03/2024 17:18:07"
"868898","6","PH9753-00","6","5","25/03/2024 14:16:13"
"868898","7","PH9753-00","7","2","25/03/2024 17:24:01"
"868905","1","DH2050-23","2","9","14/03/2024 16:48:05"
"868905","2","DH2050-23","3","54","14/03/2024 17:00:08"
"868905","3","DH2050-23","3","54","14/03/2024 19:20:59"
"868905","4","DH2050-23","3","13","14/03/2024 18:13:28"
"868905","5","DH2050-23","4","53","15/03/2024 15:56:05"
"868905","6","DH2050-23","4","53","15/03/2024 14:26:09"
"868905","7","DH2050-23","4","53","15/03/2024 16:01:34"
"868905","8","DH2050-23","4","53","15/03/2024 16:38:12"
"868905","9","DH2050-23","4","12","15/03/2024 18:00:55"
"868905","10","DH2050-23","5","48","15/03/2024 18:05:14"
"868905","11","DH2050-23","5","49","15/03/2024 17:46:52"
"868905","12","DH2050-23","5","49","15/03/2024 19:18:33"
"868906","1","DH2050-23","5","49","18/03/2024 14:06:49"
"868906","2","DH2050-23","5","49","18/03/2024 18:26:50"
"868906","3","DH2050-23","5","14","18/03/2024 13:26:28"
"868906","4","DH2050-23","6","48","18/03/2024 14:01:35"
"868906","5","DH2050-23","6","48","18/03/2024 13:43:03"
"868906","6","DH2050-23","6","46","18/03/2024 13:30:56"
"868906","7","DH2050-23","6","44","18/03/2024 17:50:42"
"868906","8","DH2050-23","7","46","18/03/2024 18:01:32"
"868906","9","DH2050-23","7","46","18/03/2024 14:59:34"
"868906","10","DH2050-23","7","19","18/03/2024 17:57:41"
"868906","11","DH2050-23","8","46","18/03/2024 18:18:14"
"868906","12","DH2050-23","9","11","18/03/2024 17:53:35"
"868907","1","DH2050-23","3","5","15/03/2024 19:13:54"
"868907","2","DH2050-23","4","6","15/03/2024 18:31:09"
"868907","3","DH2050-23","5","6","15/03/2024 18:33:39"
"868907","4","DH2050-23","6","4","16/03/2024 12:03:01"
"868908","1","DH2050-00","3","6","16/03/2024 12:54:53"
"868908","2","DH2050-00","4","12","16/03/2024 12:52:11"
"868908","3","DH2050-00","5","19","16/03/2024 12:00:14"
"868908","4","DH2050-00","6","9","16/03/2024 11:57:47"
"868908","5","DH2050-00","7","6","16/03/2024 11:58:57"
"868908","6","DH2050-00","8","3","16/03/2024 11:58:17"
"868908","7","DH2050-00","9","3","16/03/2024 12:59:31"
"868909","1","518663","2T","61","27/05/2024 18:54:33"
"868909","2","518663","3T","77","27/05/2024 19:01:19"
"868909","3","518663","4T","80","27/05/2024 18:55:06"
"868910","1","TH2827-51","4","24","04/04/2024 10:31:36"
"868910","2","TH2827-51","5","23","04/04/2024 8:52:07"
"868911","1","TH5467-00","2","64","04/04/2024 13:01:09"
"868911","2","TH5467-00","3","57","08/04/2024 15:54:34"
"868911","3","TH5467-00","3","23","04/04/2024 17:09:49"
"868911","4","TH5467-00","4","52","05/04/2024 16:31:25"
"868911","5","TH5467-00","4","50","04/04/2024 13:45:40"
"868911","6","TH5467-00","5","55","04/04/2024 15:29:24"
"868911","7","TH5467-00","5","34","04/04/2024 17:28:01"
