period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,issues_review_menor_7_dias,issues_en_revision_total,historias_fix_version_deploy,cantidad_historias_deploy,repos_activos_con_nomenclatura_estandar,total_repositorios_en_uso,promedio_tiempo_aprobacion_pr,promedio_tamano_pr,repos_gobernados_chimera_activos,promedio_tiempo_integracion,promedio_tiempo_builds,pipelines_ejecuciones_exitosas,pipelines_ejecuciones_totales,promedio_tiempo_reparacion_builds,repos_sonarqube_ok_activos,repos_conectados_sonarqube,items_pruebas_desplegados_xray,items_desplegados_totales
01-Aug,CIB,SW DELIVERY,FOREIGN EXCHANGE,1188,PRICE DISTRIBUTION AND ORDER MANAGEMENT,8,9,5,5,10,11,0.08,27,10,2.42,6,7,8,99.5,11,11,9,9
01-Jun,ESPANA,SYSTEMS ENGINEERING,ENTERPRISE CLIENTS SYSTEMS,265,ENTERPRISES CHANNEL,8,9,8,8,10,12,0.05,179.5,11,2.99,29,10,12,17,5,5,11,11
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,69,AR37 WEB PUBLICA EMPRESAS,11,11,12,13,11,13,0.32,221.5,11,2.06,21.5,9,9,16.5,11,12,14,14
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,MEDIOS DE PAGO,9,AR12 CONTABILIDAD TC,10,10,11,12,3,3,0.13,5.5,1,1.5,1,2,2,15,10,11,4,4
01-Aug,ESPANA,SYSTEMS ENGINEERING,INSURANCE AND ASSET MANAGEMENT SYSTEMS,286,INSURANCE - POSTVENTA,10,11,9,9,13,14,1.34,20,13,2.08,1,14,15,30.5,8,8,9,9
01-Jul,ESPANA,SYSTEMS ENGINEERING,RETAIL CUSTOMERS SYSTEMS,298,CONTACT CENTER,9,9,12,12,13,13,0.06,18,12,1.67,30,3,4,3,10,10,8,8
01-Jun,GSD,GSD,PAYMENT,859,PAYMENT METHODS SYSTEM,6,6,10,11,7,7,0.47,8,5,1.89,0.5,8,8,9.5,3,4,13,13
01-Jun,CIB,SW DELIVERY,DIGITAL ASSETS,1182,DIGITAL ASSETS,12,13,11,12,5,5,0.09,33,5,2.47,1,7,8,31,12,14,3,3
01-Jul,CIB,SW DELIVERY,REPOSITORIES AND SUPERVISORY FUNCTIONS,1177,REPOSITORIES,9,10,8,8,11,14,0.1,21.5,14,2.62,24,12,13,7,13,13,13,13
01-Jul,CIB,DATA ENGINEERING,UNDERWRITING & COMMERCIAL PROCESS,1149,UNDERWRITING SERVICE,9,10,9,9,11,13,0.09,12,11,2.35,17.5,12,15,5.5,5,5,11,11
01-Jun,CIB,SW DELIVERY,REPOSITORIES AND SUPERVISORY FUNCTIONS,1178,SUPERVISORY FUNCTIONS,5,5,14,15,8,10,0.35,14,8,2.84,13.5,10,10,85.5,12,12,12,12
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,170,AR19 DIGITALIZACION DE IMAGENES,7,7,8,8,11,13,0.37,11,11,1.54,15,3,3,18.5,12,14,14,14
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,SWF VINCULADAS,78,AM03 CONSUMER FINANCE,12,13,11,12,9,11,1.33,88,11,1.21,18,11,11,13,12,13,13,13
01-Aug,ESPANA,SYSTEMS ENGINEERING,CORE CROSS SYSTEMS,271,CCS PRICING,9,9,12,13,13,14,0.24,9.5,13,1.35,12.5,10,10,60.5,11,13,11,11
01-Jun,URUGUAY,SYSTEMS ENGINEERING,,670,CFE,10,10,10,11,9,9,0.96,27,7,1.13,17.5,10,10,48,3,4,15,15
01-Aug,PERU,SYSTEMS,CORPORATE,757,COMPLIANCE,13,14,2,2,11,11,0.31,15.5,10,1.95,31,1,1,28.5,6,7,7,7
01-Jun,ESPANA,SYSTEMS ENGINEERING,INSURANCE AND ASSET MANAGEMENT SYSTEMS,277,ASSET MANAGEMENT - BACKOFFICE Y FONDOS DE INVERSION,10,10,13,14,13,14,0.3,20,12,2.53,32.5,8,9,7,9,9,11,11
01-Aug,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,428,CREDITS,8,9,7,7,13,13,0.48,29,13,2.32,26.5,7,7,74.5,11,11,15,15
01-Aug,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,839,GDH ALPHA,5,5,9,10,6,6,0.22,24.5,6,2.04,1.5,6,8,0.5,6,7,15,15
01-Jun,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,842,VISUAL CLIENT,12,12,13,14,10,10,0.03,80,9,2.95,33.5,10,11,74.5,12,12,8,8
01-Jul,CFE,RISK,,1253,RETAIL CREDIT RISK,8,8,8,8,10,12,0.16,11,11,2.36,18,9,10,46,11,13,10,10
01-Jul,ESPANA,SYSTEMS ENGINEERING,CONSUMER FINANCE SYSTEMS,256,COBRANDED,2,2,13,14,10,11,0.44,30.5,11,2.49,22.5,12,14,118,10,10,4,4
01-Aug,MEXICO,DATA TRANSFORMATION & ENGINEERING,DATAHUB EXTENDED,867,OPERATIONAL ENTERPRISE,5,6,4,4,11,13,0.18,26.5,11,1.14,34.5,11,13,33.5,6,6,4,4
01-Aug,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,575,NET,9,10,7,7,8,10,0.29,98.5,10,1.5,9.5,11,12,89.5,12,14,11,11
01-Jun,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,592,TRANSACCIONALIDAD,13,14,13,14,14,14,1.16,202.5,13,1.6,18,6,7,13.5,14,15,8,8
01-Aug,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,556,BACKOFFICE,10,11,10,10,13,14,1.42,3.5,12,1.79,33.5,12,12,43,13,13,4,4
01-Jun,VENEZUELA,SYSTEMS,CHANNELS,696,ENTERPRISE WEB & MOBILE,13,14,8,9,2,2,0.47,27.5,2,3.8,8,9,9,9,7,8,6,6
01-Jul,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,1050,SERVICE BANKERS'S TOOLS - DWP,10,11,10,11,9,12,0.28,160.5,9,2.18,7,10,11,23.5,12,14,9,9
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,MEDIOS DE PAGO,11,RB04 ATM /CAJEROS AUTOMATICOS,3,3,7,8,5,5,0.28,23.5,5,1.74,33,11,11,98.5,3,4,5,5
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,VENTAS,37,AR47 FORMULARIOS Y CONTRATOS DIGITALES,9,9,12,13,13,14,0.47,28.5,12,2.36,10,12,12,114,6,7,8,8
01-Jul,MEXICO,SYSTEMS ENGINEERING,C&IB,456,FI & REPORTING,10,11,5,5,12,12,0.45,100,11,1.02,8.5,5,7,50,10,10,10,10
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,SWF VINCULADAS,207,AM02 CONSUMER FINANCE,7,7,9,10,9,9,0.16,95,8,2.36,19,13,13,80.5,5,7,12,12
01-Aug,PERU,SYSTEMS,CORE CLIENTS,737,PEOPLE,12,13,11,12,12,13,0.31,28,12,1.68,14,9,10,63.5,10,11,12,12
01-Jun,CFE,FINANCE,,1272,INVEST & COST MANAGEMENT,5,5,13,14,8,8,0.4,53.5,6,1.34,31,9,10,21.5,8,9,12,12
01-Jun,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,441,CONSUMER FINANCE,11,12,10,11,5,6,0.71,42,4,1.33,13.5,9,9,8.5,7,9,3,3
01-Jun,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,INTERNATIONAL TREASURY MANAGEMENT,1055,PIVOT CONNECT,6,7,2,2,7,8,0.98,143,6,2.46,27.5,9,9,8.5,5,6,7,7
01-Jul,CFE,RISK,,1251,OTHER RISKS,9,9,11,12,12,13,0.23,70,10,2.36,16,10,10,18,5,7,11,11
01-Jul,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,443,DIGITAL WORKPLACE & CRM,7,7,13,14,8,9,0.5,17,8,1.22,33.5,4,4,73,4,4,13,13
01-Aug,CFE,T&C,,1258,TALENT MANAGEMENT,12,13,7,7,14,15,0.22,7.5,14,3.19,5.5,7,7,48.5,14,14,8,8
01-Jul,ESPANA,SYSTEMS ENGINEERING,INSURANCE AND ASSET MANAGEMENT SYSTEMS,279,ASSET MANAGEMENT - FRONT OFFICE,12,13,9,9,10,12,0.43,16.5,12,1.77,17,13,15,84,9,10,14,14
01-Jul,ESPANA,SYSTEMS ENGINEERING,CORE BANKING PRODUCTS,269,"VALORES, FONDOS INTERNACIONALES, DEPOSITARIA Y ACCIONISTAS",12,12,12,13,11,14,0.13,29.5,9,2.13,7,9,9,7,9,10,7,7
01-Jun,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,295,T&C Y COMUNICACIONES,11,12,10,11,10,10,0.38,28.5,9,1.52,29,7,8,46,13,13,14,14
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,51,AR05 LOYALTY,11,12,8,9,8,9,0.42,71.5,7,2.4,4,7,7,119,6,7,4,4
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,39,RB01 RETAIL WEB / WEBS PARTICULARES,7,7,10,11,5,6,0.38,14,6,1.4,24,7,7,117,9,10,7,7
01-Jul,GSD,GSD,ALPHA,851,OPERATIONAL DATA INFRASTRUCTURE,11,11,11,12,9,9,0.11,17.5,8,2.85,33,7,8,12,13,13,7,7
01-Jul,PERU,SYSTEMS,CORE CLIENTS,737,PEOPLE,10,10,12,13,10,10,0.27,39.5,9,2.42,8.5,8,10,21,12,14,11,11
01-Aug,ESPANA,SYSTEMS ENGINEERING,ENTERPRISE CLIENTS SYSTEMS,266,FINANCIACION ESPECIALIZADA,11,11,12,13,9,9,0.42,5.5,6,1.23,5.5,9,10,76.5,8,8,11,11
01-Aug,CIB,DATA ENGINEERING,ANALYTICS,1142,GTB ANALYTICS,5,5,12,13,13,13,0.38,18.5,13,2.85,31.5,8,9,3.5,7,7,6,6
01-Jul,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,1067,FX SMART HEDGING,8,8,12,13,9,10,0.33,1,10,1.18,19,4,5,85,11,11,11,11
01-Jun,GSD,GSD,ALPHA,849,INFRAESTRUCTURA MULTICANAL,12,13,11,12,8,8,0.15,15.5,7,2.91,0,5,5,91.5,4,6,4,4
01-Aug,CIB,SW DELIVERY,REPOSITORIES AND SUPERVISORY FUNCTIONS,1178,SUPERVISORY FUNCTIONS,11,12,9,9,10,12,0.27,4,12,1.56,19,9,9,78,12,14,5,5
01-Jul,CFE,R&IC,,1269,REPORTING FRAUDE,13,14,13,14,7,9,0.28,12.5,8,2.89,5,10,11,58.5,12,13,5,5
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,45,AR36 LOCAL SERVICES,13,14,9,9,12,13,0.47,91.5,12,1.88,15.5,9,10,102,10,13,4,4
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,577,OPEN MARKET,8,8,8,9,6,7,0.6,67.5,7,1.38,9,6,7,28.5,10,11,8,8
01-Jun,MEXICO,SYSTEMS ENGINEERING,C&IB,456,FI & REPORTING,8,9,8,9,9,9,1.15,5.5,9,1.81,21,10,10,38,13,13,8,8
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,CFS-FINANZAS-T&C-R&IC,568,CUMPLIMIENTO & AUDITORIA,9,10,7,7,8,9,0.15,6,9,1.84,4,5,6,62.5,9,11,8,8
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,CORE,563,GESTION REMOTA RETAIL,10,11,9,10,3,3,0.21,12,2,1.28,7.5,10,10,101,6,7,9,9
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,MEDIOS DE PAGO,6,AR07 TARJETA DE DEBITO,9,9,13,14,9,14,0.44,12.5,14,1.01,5,5,6,4,12,12,11,11
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,MERCADOS Y CUSTODIAS,13,CIB05 OPERATION DATA,14,15,3,4,2,2,0.66,1,2,2.96,30,8,9,107,8,9,11,11
01-Jul,RETAIL CLIENT SOLUTIONS,CROSS,CONTENT MANAGEMENT,890,CONTENT MANAGEMENT,13,13,14,15,11,14,0.33,85.5,11,1.97,13,15,15,55,10,13,6,6
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,580,SEGUROS FINANCIERO,5,5,12,13,9,9,1.07,2,8,1.85,17.5,12,13,79.5,12,12,12,12
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,71,AR43 OPEN BANKING EMPRESAS,7,7,11,11,13,13,0.11,25,12,1.41,11.5,3,4,23.5,9,9,6,6
01-Jun,ESPANA,DATA ENGINEERING,DATA HUB,844,CS & SOSTENIBILIDAD,11,12,9,9,10,12,0.35,1,8,2.92,7.5,10,12,15.5,9,9,13,13
01-Aug,VENEZUELA,SYSTEMS,CHANNELS,697,OTHER WEB & CC,13,14,10,10,15,15,0.07,14.5,15,1.72,19.5,13,14,85,5,7,9,9
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,MERCADOS Y CUSTODIAS,15,CIB07 ASSET MANAGEMENT,5,6,3,3,11,11,0.46,71,10,2.87,34,11,12,38.5,11,11,10,10
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,ADQUIRENCIA,82,PA03 PSP - MERCURIO,4,4,8,9,5,7,0.17,2,7,2.3,23.5,8,8,116.5,9,9,11,11
01-Jul,ESPANA,SYSTEMS ENGINEERING,RETAIL CUSTOMERS SYSTEMS,300,MOBILE CHANNEL,13,14,11,12,8,10,0.15,30,9,1.22,23,9,10,6,1,1,10,10
01-Aug,ESPANA,SYSTEMS ENGINEERING,PASIVO / PAYMENT SYSTEMS,287,PASIVO,9,9,10,10,14,15,0.35,264.5,15,1.66,7.5,8,9,117,5,5,11,11
01-Aug,GSD,GSD,PAYMENT,857,PASIVO,11,12,10,11,11,13,0.42,99.5,11,2.47,4.5,8,8,61,9,11,7,7
01-Jun,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,571,ANTIFRAUDE,10,11,9,10,8,8,0.56,5.5,7,1.83,4.5,9,10,89.5,4,5,12,12
01-Jun,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,1076,PIVOT NET,11,12,10,11,10,10,0.34,23.5,9,2.16,25.5,4,4,74.5,10,11,8,8
01-Jun,PERU,SYSTEMS,CROSS SYSTEMS,747,OTHER CROSS PRODUCTS,13,14,5,5,9,10,0.47,12,8,2.02,0,10,11,24,6,8,7,7
01-Jun,CFE,R&IC,,1270,SCREENING & TRANSACTION MONITORING AML,9,9,14,15,14,14,0.29,7,13,1.5,24.5,9,10,29,13,13,11,11
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,VENTAS,35,AR33 PRODUCTOS NO CREDITICIOS,7,7,13,14,12,13,0.11,30,12,1.28,42,5,5,13,14,14,15,15
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,SWF SEGUROS,29,IN01 INSURANCE DISTRIBUTION/CHANNELS WEB,9,10,5,5,6,8,0.3,41.5,8,1.71,26,13,13,60.5,9,10,12,12
01-Jun,URUGUAY,SYSTEMS ENGINEERING,,673,CROSS SYSTEMS,12,13,7,7,11,14,0.59,70.5,11,2.63,7,12,14,40.5,9,10,10,10
01-Jun,CFE,T&C,,1257,PREMISES & SERVICES,6,6,8,8,9,9,1.28,274,8,2.62,0,5,6,8.5,13,14,7,7
01-Jun,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,1075,GLOBAL CHANNELS,10,10,10,11,9,10,0.4,3.5,8,1.2,0,10,11,80.5,7,7,8,8
01-Aug,MEXICO,SYSTEMS ENGINEERING,RETAIL,439,WEB,12,13,10,10,14,14,0.47,5,12,1.59,5,10,10,43.5,4,6,10,10
01-Aug,MEXICO,SYSTEMS ENGINEERING,C&IB,454,CROSS & LENDING,12,12,13,14,5,6,0.36,10,6,2.5,12,12,15,82.5,10,10,5,5
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,589,ENTERPRISE MOBILE (GEMA),10,10,11,12,6,6,0.22,62.5,6,1.17,15,11,12,62.5,9,11,14,14
01-Aug,RETAIL CLIENT SOLUTIONS,RETAIL,AM&GW,880,AM&GW,12,13,9,9,11,13,0.39,27.5,9,1.2,5,5,5,60.5,12,12,10,10
01-Jun,RETAIL CLIENT SOLUTIONS,RETAIL,AM&GW,880,AM&GW,6,6,11,11,14,14,0.44,81.5,14,2.21,21,6,8,29.5,10,11,8,8
01-Jun,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,586,"RIESGOS REPORTING, NORMATIVOS",9,10,7,7,11,12,0.42,2,10,1.31,31.5,8,9,81.5,8,8,14,14
01-Jun,CFE,RISK,,1250,ESG & REPORTING & ANALYTICS,4,4,13,14,13,13,0.18,17,13,2.62,9.5,10,10,114.5,8,10,12,12
01-Jun,GSD,GSD,DEVOPS & SW DEV TOOLS,856,UX & DESIGN,9,9,11,12,12,13,0.19,205,9,2.49,26.5,9,9,8.5,11,11,7,7
01-Aug,CFE,AUD.LEGAL&CHAIRMAN UNITS,,1261,AUDIT,3,4,2,2,10,11,0.44,3.5,11,1.1,24.5,8,10,87.5,5,5,13,13
01-Aug,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,898,RIESGOS - DATA,12,13,8,8,9,11,0.08,50,9,2.68,15.5,11,12,84.5,15,15,7,7
01-Jul,VENEZUELA,SYSTEMS,BANKING SYSTEMS,688,ASSET MANAGEMENT,10,11,7,7,12,14,0.35,227,12,1.55,28.5,11,11,14,8,10,12,12
01-Jun,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,898,RIESGOS - DATA,11,11,12,12,13,14,1.34,1.5,13,2.97,6.5,15,15,64,11,13,3,3
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,MODELOS DE ATENCION,18,AR34 GESTION SUCURSALES y RECLAMOS,10,10,11,12,7,8,0.32,29.5,7,1.77,24,10,12,9.5,10,10,12,12
01-Aug,CIB,SW DELIVERY,GTB & IB&F,1192,GTB,9,9,10,11,7,10,0.4,10.5,10,2.38,3,4,5,14,6,6,6,6
01-Jun,CIB,DATA ENGINEERING,UNDERWRITING & COMMERCIAL PROCESS,1149,UNDERWRITING SERVICE,12,12,13,14,10,11,0.9,48,10,1.99,7,6,7,20,9,10,7,7
01-Jul,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,SALESFORCE,873,SALESFORCE - DATA,14,15,1,1,15,15,0.02,58.5,13,2.67,22,9,10,73.5,10,10,14,14
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,SALESFORCE,593,SALESFORCE,7,7,13,14,9,10,0.21,81.5,8,2.49,9,14,14,11,3,4,6,6
01-Jun,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,1069,PROCESOS ONBOARDING & CONTRATACI��,14,15,9,9,13,14,0.48,11.5,14,2.09,34,5,6,93.5,14,14,9,9
01-Jun,COLOMBIA,SYSTEMS ENGINEERING,CORE,567,VENTAS ASISTIDAS CAP,9,9,14,15,7,7,0.17,32,5,2.18,28,14,14,42.5,13,14,11,11
01-Jun,MEXICO,DATA TRANSFORMATION & ENGINEERING,DATAHUB EXTENDED,867,OPERATIONAL ENTERPRISE,11,11,14,15,2,2,0.8,0.5,2,2.33,23.5,9,11,70,10,10,9,9
01-Jun,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,573,CANALES ASISTIDOS IVR/CBs,7,8,7,7,9,11,0.25,29.5,10,1.46,20.5,4,4,26,5,6,9,9
01-Jul,CIB,DATA ENGINEERING,RISK DATA,1147,GMRU ANALYTICS,10,10,14,15,7,8,0.31,28.5,8,2.36,34.5,9,12,27,13,13,14,14
01-Jul,PERU,SYSTEMS,ENTERPRISE,748,ENTERPRISE BANKING CANALES WEB & MOBILE,4,4,8,9,9,10,1.37,246,7,2,15.5,12,13,9,9,10,14,14
01-Jun,ESPANA,SYSTEMS ENGINEERING,INSURANCE AND ASSET MANAGEMENT SYSTEMS,281,ASSET MANAGEMENT - MIDDLE OFFICE,10,10,14,15,14,14,0.4,0.5,14,2.19,21.5,10,11,104.5,13,15,14,14
01-Aug,CFE,T&C,,1257,PREMISES & SERVICES,14,15,7,8,6,7,0.09,257.5,7,2.73,23.5,11,12,58.5,14,15,12,12
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,ADQUIRENCIA,81,PA02 MERCHANTS-ACQUIRING / COMERCIOS-ADQUIRENCIA,2,2,12,13,8,9,0.35,20,9,1.78,11.5,14,14,122.5,11,12,6,6
01-Jul,PERU,SYSTEMS,FINANCE,743,ACCOUNTING,11,12,11,12,10,10,0.27,32,9,1.29,8.5,8,10,104,5,5,8,8
01-Jul,CIB,SW DELIVERY,RISK,1174,RISK MEASUREMENT 2.0,10,11,4,4,11,11,0.17,147,9,2.59,14,4,5,67,10,10,14,14
01-Aug,PERU,SYSTEMS,CORPORATE,759,LEGAL,8,9,7,8,4,5,0.35,44.5,4,2.14,7.5,9,12,33.5,9,10,5,5
01-Jul,ESPANA,SYSTEMS ENGINEERING,CORE CROSS SYSTEMS,335,TRANSFORMACION DE OPERACIONE,12,13,6,6,13,14,0.11,10.5,12,2.14,26,14,15,43.5,12,13,11,11
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,592,TRANSACCIONALIDAD,9,9,13,14,13,14,0.37,60.5,14,2.99,19.5,12,14,95.5,11,12,4,4
01-Jul,PERU,SYSTEMS,PAYMENT METHODS,753,NEW PAYMENT RAILS,13,14,10,10,11,12,0.39,9,10,1.09,2,10,12,117,6,7,15,15
01-Aug,CIB,SW DELIVERY,RISK,1172,MARKET & COUNTERPARTY RISK,11,12,6,7,7,9,0.49,56,9,2.19,5.5,12,14,66.5,7,8,12,12
01-Aug,ESPANA,DATA ENGINEERING,DATA MODELLING,833,SDM,10,11,7,7,13,15,0.4,14,13,1.65,5,11,13,70.5,8,9,12,12
01-Jul,ESPANA,SYSTEMS ENGINEERING,INSURANCE AND ASSET MANAGEMENT SYSTEMS,277,ASSET MANAGEMENT - BACKOFFICE Y FONDOS DE INVERSION,7,8,1,2,1,1,1,8,1,2.63,27,10,10,26,6,8,10,10
01-Jun,PERU,SYSTEMS,ENTERPRISE,749,ENTERPRISE BRANCH,7,7,7,7,12,12,0.49,27.5,6,2.88,13.5,13,13,17,12,15,6,6
01-Aug,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,444,ENTERPRISE WEB,11,12,8,9,4,4,1.11,26.5,4,2.43,16.5,6,7,118,13,14,9,9
01-Jul,MEXICO,SYSTEMS ENGINEERING,RETAIL,437,MULTICHANNEL RETAIL,9,10,8,8,12,13,0.18,29,11,1.04,29.5,5,6,39.5,7,7,15,15
01-Jul,MEXICO,SYSTEMS ENGINEERING,CORE CROSS SYSTEMS,411,ACCOUNT STATEMENTS & TAX STAMPS,12,12,12,13,10,10,0.49,27,9,3.35,6.5,8,8,11.5,10,13,13,13
01-Jun,MEXICO,SYSTEMS ENGINEERING,INSURANCE,426,MULTIASISTENCIA,8,9,8,8,11,11,0.04,12.5,10,3.47,17.5,14,15,70,4,4,13,13
01-Aug,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,576,OFICINA,11,11,12,13,10,10,0.39,29.5,10,2.66,18,8,8,86.5,2,4,15,15
01-Jul,RETAIL CLIENT SOLUTIONS,RETAIL,RETAIL - PAYMENTS,884,GP2 - HORUS,12,13,9,10,8,8,0.04,59.5,7,3.48,17.5,9,10,1.5,13,14,15,15
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,41,CF06 FINANCE / FINANZAS,14,15,11,12,7,8,1.1,75.5,7,1.65,26.5,15,15,19,13,13,9,9
01-Aug,MEXICO,SYSTEMS ENGINEERING,CORE BANKING PRODUCTS,448,CLIENTS,14,15,13,14,8,14,0.04,1,12,2.21,16,11,13,3.5,11,11,13,13
01-Jul,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,HIGH VALUE SOLUTIONS,1054,TRADE FINANCE,5,5,9,9,12,13,0.38,40.5,10,1.93,18.5,10,10,89,6,7,10,10
01-Jun,ESPANA,SYSTEMS ENGINEERING,RETAIL CUSTOMERS SYSTEMS,297,BRANCH CHANNEL,5,5,10,11,10,10,0.56,15,8,2.89,32.5,3,3,27.5,9,11,13,13
01-Aug,CIB,SW DELIVERY,REPOSITORIES AND SUPERVISORY FUNCTIONS,1179,TRANSACTION REPORTING & RECONCILIATIONS,12,13,10,10,12,12,0.42,9,12,2.12,26,10,12,15,8,10,14,14
01-Jul,PERU,SYSTEMS,ENTERPRISE,749,ENTERPRISE BRANCH,8,8,14,15,9,11,0.13,19,9,3.74,19,11,11,27,12,13,14,14
01-Aug,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,835,DATAHUB R&F,14,15,5,5,13,14,0.08,9,12,1.58,30.5,8,8,68.5,12,13,14,14
01-Aug,CIB,DATA ENGINEERING,UNDERWRITING & COMMERCIAL PROCESS,1149,UNDERWRITING SERVICE,4,4,8,8,11,12,0.16,164.5,9,2.92,15.5,10,12,26.5,8,10,8,8
01-Jun,MEXICO,SYSTEMS ENGINEERING,RETAIL,437,MULTICHANNEL RETAIL,12,12,13,14,10,12,0.43,28,10,2.82,1.5,10,10,70,15,15,13,13
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,52,AR09 BENEFICIOS,7,7,12,13,11,13,0.25,22,13,2.39,29.5,8,8,22.5,9,15,14,14
01-Jun,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,EMBEDDED FINANCE,1072,PLATAFORMA API CHANNEL,12,12,12,12,13,14,0.3,12.5,11,2.52,12.5,6,8,24,8,10,13,13
01-Jun,CFE,RISK,,1249,CAPITAL,8,8,10,11,6,6,0.3,3.5,4,1.14,20.5,3,3,29.5,7,8,13,13
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,MERCADOS Y CUSTODIAS,12,CIB04 GLOBAL MARKET,10,10,13,14,10,13,0.53,15.5,9,2.07,14.5,12,12,17,9,11,11,11
01-Jul,CIB,SW DELIVERY,RISK,1172,MARKET & COUNTERPARTY RISK,9,9,11,11,13,14,0.48,77.5,6,1.24,34,12,13,8,13,13,10,10
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,72,AR44 PLATAFORMA SENDA ARG,9,10,5,5,10,11,0.34,20.5,10,1.42,11,7,9,14,11,12,10,10
01-Jun,CFE,R&IC,,1259,NFR,10,10,10,11,10,12,1.35,91.5,12,2.67,27,10,11,48,12,13,8,8
01-Aug,GSD,GSD,DEVOPS & SW DEV TOOLS,856,UX & DESIGN,8,8,13,14,8,9,1.33,92,8,2.01,31.5,9,9,24.5,7,7,10,10
01-Aug,MEXICO,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,419,FINANCE & PROCUREMENT,12,13,12,13,9,9,0.44,15.5,7,2.16,1,2,2,9.5,1,2,10,10
01-Aug,MEXICO,DATA TRANSFORMATION & ENGINEERING,DATAHUB EXTENDED,868,TRANSACTIONAL S&C,9,10,6,6,11,13,0.35,230.5,11,2.11,25.5,11,13,97.5,13,13,14,14
01-Jun,VENEZUELA,SYSTEMS,CROSS SERVICES,682,ACCOUNTS,7,8,4,4,11,11,0.43,42,9,2.43,34,14,14,3,13,14,4,4
