period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,Nº fichas RFO,Nº SN2 con ficha RFO con status OK,Nº SN2 con dependencias Consumer,Nº SN2 del tipo Aplicación no Hijo,Número de features deployed válidas,Número de features deployed,Valor de cumplimiento de objetivos en Op Model,Servicios N2 con medición en el modelo objetivo del Op Model,Vulnerab. de alto riesgo por cada mil líneas de códgio,Vulnerab. de alto riesgo por cada mil líneas de códgio mes anterior,Variación de la evolución de vulnerabilidades,Nº de vulnerabilidades high,Nº de Lineas de código,Nº de vulnerabilidades high en el mes anterior,Líneas de código en el mes anterior
25-Mar,VENEZUELA,SYSTEMS,PAYMENT,201,ISSUING(EMISOR/AUTORIZADOR),4,4,1,4,0,0,1.5,2,0,0,0,0,0,0,0
25-Apr,VENEZUELA,SYSTEMS,PAYMENT,201,ISSUING(EMISOR/AUTORIZADOR),4,4,4,4,0,0,1,2,0,0,0,0,4.667,0,0
25-May,VENEZUELA,SYSTEMS,PAYMENT,201,ISSUING(EMISOR/AUTORIZADOR),4,4,4,4,1,1,1,2,0,0,0,0,15.915,0,0
25-Jun,VENEZUELA,SYSTEMS,PAYMENT,201,ISSUING(EMISOR/AUTORIZADOR),4,4,4,4,2,2,1,1,0,0,0,0,15.915,0,0
25-Jul,VENEZUELA,SYSTEMS,PAYMENT,201,ISSUING(EMISOR/AUTORIZADOR),4,4,4,4,0,0,1.5,2,0,0,0,0,20.64,0,0
25-Aug,VENEZUELA,SYSTEMS,PAYMENT,201,ISSUING(EMISOR/AUTORIZADOR),4,4,4,4,0,0,1,1,0,0,0,0,20.64,0,0
25-Mar,VENEZUELA,SYSTEMS,PAYMENT,202,MERCHANTS ACQUIARING,4,4,2,4,0,0,2,2,0,0,0,0,0,0,0
25-Apr,VENEZUELA,SYSTEMS,PAYMENT,202,MERCHANTS ACQUIARING,4,4,4,4,0,0,2,2,0,0,0,0,0,0,0
25-May,VENEZUELA,SYSTEMS,PAYMENT,202,MERCHANTS ACQUIARING,4,4,4,4,0,0,2,2,0,0,0,0,0,0,0
25-Jun,VENEZUELA,SYSTEMS,PAYMENT,202,MERCHANTS ACQUIARING,4,4,4,4,0,0,2,2,0,0,0,0,0,0,0
25-Jul,VENEZUELA,SYSTEMS,PAYMENT,202,MERCHANTS ACQUIARING,4,4,4,4,0,0,2,2,0,0,0,0,0,0,0
25-Aug,VENEZUELA,SYSTEMS,PAYMENT,202,MERCHANTS ACQUIARING,4,4,4,4,0,0,2,2,0,0,0,0,0,0,0
25-Mar,VENEZUELA,SYSTEMS,PAYMENT,203,OTHERS PAYMENTS,6,6,5,6,3,3,3,3,0,0,0,0,0,0,0
25-Apr,VENEZUELA,SYSTEMS,PAYMENT,203,OTHERS PAYMENTS,6,6,6,6,0,0,4,4,0,0,0,0,0,0,0
25-May,VENEZUELA,SYSTEMS,PAYMENT,203,OTHERS PAYMENTS,6,6,6,6,5,5,4,4,0,0,0,0,0,0,0
25-Jun,VENEZUELA,SYSTEMS,PAYMENT,203,OTHERS PAYMENTS,6,6,6,6,5,5,4,4,0,0,0,0,0,0,0
25-Jul,VENEZUELA,SYSTEMS,PAYMENT,203,OTHERS PAYMENTS,6,6,6,6,0,0,4,4,0,0,0,0,0,0,0
25-Aug,VENEZUELA,SYSTEMS,PAYMENT,203,OTHERS PAYMENTS,6,6,6,6,0,0,4,4,0,0,0,0,0,0,0
25-Mar,PERU,SYSTEMS,CORPORATE,204,TALENT & CULTURE,14,7,11,13,8,8,4.5,7,94,0,0,94,4.636.284,0,0
25-Apr,PERU,SYSTEMS,CORPORATE,204,TALENT & CULTURE,13,13,11,12,0,0,3.5,6,181,0,0,181,3.505.044,0,0
25-May,PERU,SYSTEMS,CORPORATE,204,TALENT & CULTURE,13,13,12,12,0,0,3,6,96,0,0,96,1.726.962,0,0
25-Jun,PERU,SYSTEMS,CORPORATE,204,TALENT & CULTURE,13,13,12,12,9,9,6,7,101,0,0,101,1.734.379,0,0
25-Jul,PERU,SYSTEMS,CORPORATE,204,TALENT & CULTURE,13,13,12,12,2,2,6.5,7,101,0,0,101,1.734.949,0,0
25-Aug,PERU,SYSTEMS,CORPORATE,204,TALENT & CULTURE,13,13,12,12,6,6,7,8,101,0,0,101,1.735.646,0,0
25-Sep,PERU,SYSTEMS,CORPORATE,204,TALENT & CULTURE,13,12,12,12,6,6,7,8,11,0,0,11,1.731.959,0,0
25-Mar,VENEZUELA,SYSTEMS,CORPORATE FUNCTIONS,205,TALENT & CULTURE,9,9,8,9,3,3,0,0,0,0,0,0,0,0,0
25-Apr,VENEZUELA,SYSTEMS,CORPORATE FUNCTIONS,205,TALENT & CULTURE,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
25-May,VENEZUELA,SYSTEMS,CORPORATE FUNCTIONS,205,TALENT & CULTURE,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
25-Jun,VENEZUELA,SYSTEMS,CORPORATE FUNCTIONS,205,TALENT & CULTURE,9,9,9,9,4,4,0,0,0,0,0,0,0,0,0
25-Jul,VENEZUELA,SYSTEMS,CORPORATE FUNCTIONS,205,TALENT & CULTURE,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
25-Aug,VENEZUELA,SYSTEMS,CORPORATE FUNCTIONS,205,TALENT & CULTURE,9,9,9,9,0,0,0,2,0,0,0,0,1.494.659,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,210,API CHANNEL,4,4,3,4,8,10,3,4,155,0,0,155,781.201,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,210,API CHANNEL,4,4,3,4,3,3,3,4,155,0,0,155,782.369,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,210,API CHANNEL,4,4,3,4,0,0,3,4,155,0,0,155,789.736,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,210,API CHANNEL,4,4,3,4,51,51,3,4,80,0,0,80,592.972,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,210,API CHANNEL,4,4,3,4,0,0,4,4,0,0,0,0,332.009,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,210,API CHANNEL,4,4,3,4,8,8,4,4,0,0,0,0,337.185,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,210,API CHANNEL,4,4,3,4,10,10,4,4,0,0,0,0,337.45,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,211,ENTERPRISE WEB,7,3,7,7,136,138,3.5,7,2065,0,0,2065,30.207.558,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,211,ENTERPRISE WEB,7,7,7,7,12,12,4,7,1750,0,0,1750,29.810.109,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,211,ENTERPRISE WEB,7,7,7,7,6,6,4,7,1571,0,0,1571,30.016.241,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,211,ENTERPRISE WEB,7,7,7,7,176,177,2,7,1459,0,0,1459,29.871.864,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,211,ENTERPRISE WEB,7,7,7,7,7,7,3,7,1447,0,0,1447,29.454.375,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,211,ENTERPRISE WEB,7,7,7,7,23,23,3,7,1457,0,0,1457,27.667.282,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,211,ENTERPRISE WEB,7,7,7,7,33,33,3,7,1085,0,0,1085,27.496.705,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,212,SPECIALIZED PRODUCTS,4,3,4,4,88,88,2,4,42562,0,0,42562,5.307.591,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,212,SPECIALIZED PRODUCTS,4,3,4,4,6,6,2.5,4,42562,0,0,42562,5.270.177,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,212,SPECIALIZED PRODUCTS,4,3,4,4,5,6,3,4,38979,0,0,38979,5.271.892,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,212,SPECIALIZED PRODUCTS,4,4,4,4,106,113,2.5,4,38979,0,0,38979,5.273.934,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,212,SPECIALIZED PRODUCTS,4,4,4,4,0,1,2.5,4,20115,0,0,20115,4.558.179,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,212,SPECIALIZED PRODUCTS,4,4,4,4,17,18,1,4,20115,0,0,20115,6.019.099,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,212,SPECIALIZED PRODUCTS,4,4,4,4,24,26,1,4,20115,0,0,20115,6.019.361,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,213,METHODS,3,3,3,3,95,97,3,3,0,0,0,0,37.127,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,213,METHODS,4,3,3,4,3,3,4,4,0,0,0,0,14.188,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,213,METHODS,4,3,3,4,2,2,4,4,0,0,0,0,14.142,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,213,METHODS,4,3,3,4,98,98,4,4,0,0,0,0,14.108,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,213,METHODS,4,3,3,4,5,5,4,4,0,0,0,0,14.353,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,213,METHODS,4,3,3,4,48,48,3,4,0,0,0,0,15.053,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,213,METHODS,4,3,3,4,53,54,3,4,0,0,0,0,15.069,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,215,TRANSACTIONS ENGINE,2,2,2,2,71,71,1.5,2,0,0,0,0,64.068,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,215,TRANSACTIONS ENGINE,2,2,2,2,5,5,1.5,2,0,0,0,0,48.768,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,215,TRANSACTIONS ENGINE,2,2,2,2,1,1,1.5,2,0,0,0,0,48.44,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,215,TRANSACTIONS ENGINE,2,2,2,2,77,77,0.5,2,0,0,0,0,49.609,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,215,TRANSACTIONS ENGINE,2,2,2,2,1,1,1,2,0,0,0,0,119.368,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,215,TRANSACTIONS ENGINE,2,2,2,2,12,12,0,2,0,0,0,0,3.206.176,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,215,TRANSACTIONS ENGINE,2,2,2,2,22,22,0,2,0,0,0,0,3.206.443,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,217,CREDITS,5,5,5,5,134,137,4,5,0,0,0,0,3.817.198,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,217,CREDITS,5,5,5,5,7,8,4,5,0,0,0,0,3.782.246,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,217,CREDITS,5,5,5,5,3,4,4,5,0,0,0,0,3.783.280,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,217,CREDITS,5,5,5,5,186,190,3,5,0,0,0,0,3.794.161,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,217,CREDITS,5,5,5,5,6,6,5,5,0,0,0,0,6.100.405,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,217,CREDITS,5,5,5,5,17,17,4,5,0,0,0,0,6.205.823,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,217,CREDITS,5,5,5,5,20,20,4,5,0,0,0,0,6.205.959,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,218,MERCHANTS,2,1,2,2,89,89,0,2,13,0,0,13,1.185.042,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,218,MERCHANTS,2,2,2,2,1,1,0,2,13,0,0,13,1.172.507,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,218,MERCHANTS,2,2,2,2,0,0,0,2,13,0,0,13,1.172.799,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,218,MERCHANTS,2,2,2,2,134,134,0,2,13,0,0,13,1.211.326,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,218,MERCHANTS,2,2,2,2,3,3,0.5,2,16,0,0,16,1.214.979,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,218,MERCHANTS,2,2,2,2,17,17,0.5,2,16,0,0,16,3.218.304,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,218,MERCHANTS,2,2,2,2,24,24,0.5,2,16,0,0,16,3.218.801,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,219,BANXICO,1,1,1,1,62,66,0,1,2,0,0,2,2.545.461,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,219,BANXICO,1,1,1,1,0,1,0,1,2,0,0,2,1.761.743,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,219,BANXICO,1,1,1,1,1,1,0,1,2,0,0,2,1.771.228,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,219,BANXICO,1,1,1,1,93,93,0,1,2,0,0,2,4.406.475,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,219,BANXICO,1,1,1,1,1,1,0,1,2,0,0,2,4.416.239,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,219,BANXICO,1,1,1,1,5,5,0,1,2,0,0,2,6.118.313,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,219,BANXICO,1,1,1,1,8,8,0,1,2,0,0,2,6.119.838,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,221,SUBSCRIPTIONS AND SERVICES,2,2,2,2,64,64,0,2,0,0,0,0,1.747.196,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,221,SUBSCRIPTIONS AND SERVICES,2,2,2,2,0,0,0,2,0,0,0,0,1.707.336,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,221,SUBSCRIPTIONS AND SERVICES,2,2,2,2,2,2,0.5,2,0,0,0,0,1.709.159,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,221,SUBSCRIPTIONS AND SERVICES,2,2,2,2,61,61,0,2,0,0,0,0,1.716.500,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,221,SUBSCRIPTIONS AND SERVICES,2,2,2,2,0,0,0.5,2,0,0,0,0,1.720.566,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,221,SUBSCRIPTIONS AND SERVICES,2,2,2,2,1,1,0,2,0,0,0,0,1.498.956,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,221,SUBSCRIPTIONS AND SERVICES,2,2,2,2,3,3,0,2,0,0,0,0,1.518.986,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,INSURANCE,223,INFORMATIONAL,1,1,1,1,9,9,1,1,0,0,0,0,410,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,INSURANCE,223,INFORMATIONAL,1,1,1,1,0,0,0,1,0,0,0,0,410,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,INSURANCE,223,INFORMATIONAL,1,1,1,1,0,0,0,1,0,0,0,0,410,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,INSURANCE,223,INFORMATIONAL,1,1,1,1,33,33,0,1,0,0,0,0,410,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,INSURANCE,223,INFORMATIONAL,1,1,1,1,0,0,0,1,0,0,0,0,410,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,INSURANCE,223,INFORMATIONAL,1,1,1,1,1,1,0,1,0,0,0,0,410,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,INSURANCE,223,INFORMATIONAL,1,1,1,1,1,1,0,1,0,0,0,0,410,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,INSURANCE,224,CHANNELS,4,4,4,4,54,54,3,4,548,0,0,548,8.845.879,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,INSURANCE,224,CHANNELS,4,4,4,4,0,0,3,4,548,0,0,548,8.868.931,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,INSURANCE,224,CHANNELS,4,3,4,4,9,9,3,4,519,0,0,519,8.850.717,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,INSURANCE,224,CHANNELS,4,4,4,4,67,67,3,4,505,0,0,505,11.141.251,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,INSURANCE,224,CHANNELS,4,4,4,4,1,1,2,4,534,0,0,534,15.581.478,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,INSURANCE,224,CHANNELS,4,4,4,4,43,43,2,4,550,0,0,550,17.911.834,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,INSURANCE,224,CHANNELS,4,4,4,4,53,53,2,4,550,0,0,550,17.911.926,0,0
25-Mar,MEXICO,SYSTEMS ENGINEERING,INSURANCE,225,CORE CROSS,3,3,4,4,255,255,2,4,25,0,0,25,5.185.857,0,0
25-Apr,MEXICO,SYSTEMS ENGINEERING,INSURANCE,225,CORE CROSS,3,3,4,4,1,1,2.5,4,25,0,0,25,5.093.086,0,0
25-May,MEXICO,SYSTEMS ENGINEERING,INSURANCE,225,CORE CROSS,4,3,4,4,11,11,2.5,4,25,0,0,25,5.077.292,0,0
25-Jun,MEXICO,SYSTEMS ENGINEERING,INSURANCE,225,CORE CROSS,4,4,4,4,235,235,3.5,4,25,0,0,25,5.082.286,0,0
25-Jul,MEXICO,SYSTEMS ENGINEERING,INSURANCE,225,CORE CROSS,4,4,4,4,5,5,3.5,4,27,0,0,27,5.083.052,0,0
25-Aug,MEXICO,SYSTEMS ENGINEERING,INSURANCE,225,CORE CROSS,4,4,4,4,21,23,3,4,27,0,0,27,2.186.092,0,0
25-Sep,MEXICO,SYSTEMS ENGINEERING,INSURANCE,225,CORE CROSS,4,4,4,4,39,43,3,4,27,0,0,27,2.185.632,0,0
25-Mar,URUGUAY,SYSTEMS ENGINEERING,,226,CHANNELS,17,0,2,17,7,9,5,9,3024,0,0,3024,5.334.644,0,0
25-Apr,URUGUAY,SYSTEMS ENGINEERING,,226,CHANNELS,17,0,2,17,2,3,4,12,3104,0,0,3104,8.719.779,0,0
25-May,URUGUAY,SYSTEMS ENGINEERING,,226,CHANNELS,17,0,2,17,5,6,4,12,3024,0,0,3024,8.453.581,0,0
25-Jun,URUGUAY,SYSTEMS ENGINEERING,,226,CHANNELS,17,0,3,17,13,16,5,13,3108,0,0,3108,8.462.800,0,0
25-Jul,URUGUAY,SYSTEMS ENGINEERING,,226,CHANNELS,17,1,3,17,11,11,5,13,2942,0,0,2942,8.479.325,0,0
25-Aug,URUGUAY,SYSTEMS ENGINEERING,,226,CHANNELS,17,1,3,17,19,20,7.5,12,2577,0,0,2577,8.480.519,0,0
25-Mar,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,229,RB02 RETAIL MOBILE / MOVILES PARTICULARES,1,1,1,1,5,8,0.5,1,0,0,0,0,6.407,0,0
25-Apr,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,229,RB02 RETAIL MOBILE / MOVILES PARTICULARES,19,2,1,19,1,1,15.5,19,0,0,0,0,2.939,0,0
25-May,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,229,RB02 RETAIL MOBILE / MOVILES PARTICULARES,19,7,1,19,2,3,12.5,19,0,0,0,0,2.939,0,0
25-Jun,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,229,RB02 RETAIL MOBILE / MOVILES PARTICULARES,17,17,1,17,15,16,13.5,19,0,0,0,0,3.065,0,0
25-Jul,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,229,RB02 RETAIL MOBILE / MOVILES PARTICULARES,17,17,1,17,0,0,15,19,0,0,0,0,3.317,0,0
25-Aug,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,229,RB02 RETAIL MOBILE / MOVILES PARTICULARES,17,17,7,17,0,0,17.5,19,0,0,0,0,4.722,0,0
25-Sep,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,229,RB02 RETAIL MOBILE / MOVILES PARTICULARES,17,17,7,17,0,0,17.5,19,0,0,0,0,3.516,0,0
25-Mar,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,230,RB01 RETAIL WEB / WEBS PARTICULARES,6,6,6,6,15,18,0,2,0,0,0,0,313.457,0,0
25-Apr,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,230,RB01 RETAIL WEB / WEBS PARTICULARES,24,6,6,24,11,16,13,19,0,0,0,0,313.42,0,0
25-May,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,230,RB01 RETAIL WEB / WEBS PARTICULARES,24,13,6,24,5,6,11,19,0,0,0,0,313.415,0,0
25-Jun,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,230,RB01 RETAIL WEB / WEBS PARTICULARES,23,23,6,23,39,45,13,20,0,0,0,0,313.401,0,0
25-Jul,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,230,RB01 RETAIL WEB / WEBS PARTICULARES,23,23,6,23,0,0,15,19,0,0,0,0,313.395,0,0
25-Aug,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,230,RB01 RETAIL WEB / WEBS PARTICULARES,23,23,12,23,0,0,16,19,0,0,0,0,293.892,0,0
25-Sep,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,230,RB01 RETAIL WEB / WEBS PARTICULARES,23,23,12,23,0,0,16,19,0,0,0,0,293.892,0,0
25-Mar,GSD,GSD,SW DEV TRANSF,238,SDLC PROCESSES GLOBAL,1,1,1,1,1,1,1,1,27,0,0,27,254.153,0,0
25-Apr,GSD,GSD,SW DEV TRANSF,238,SDLC PROCESSES GLOBAL,1,1,1,1,0,0,1,1,23,0,0,23,250.457,0,0
25-May,GSD,GSD,SW DEV TRANSF,238,SDLC PROCESSES GLOBAL,1,1,1,1,0,0,1,1,0,0,0,0,232.291,0,0
25-Jun,GSD,GSD,SW DEV TRANSF,238,SDLC PROCESSES GLOBAL,1,1,1,1,0,0,1,1,1,0,0,1,232.359,0,0
25-Jul,GSD,GSD,SW DEV TRANSF,238,SDLC PROCESSES GLOBAL,1,1,1,1,0,0,1,1,2,0,0,2,224.532,0,0
25-Aug,GSD,GSD,SW DEV TRANSF,238,SDLC PROCESSES GLOBAL,1,1,1,1,0,0,1,1,2,0,0,2,182.435,0,0
25-Sep,GSD,GSD,SW DEV TRANSF,238,SDLC PROCESSES GLOBAL,1,1,1,1,0,0,1,1,6,0,0,6,189.028,0,0
25-Mar,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,259,SERVICE BANKERS'S TOOLS - DWP,1,1,2,2,2,2,0.5,1,2,0,0,2,1.039.837,0,0
25-Apr,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,259,SERVICE BANKERS'S TOOLS - DWP,1,1,2,2,1,1,0,1,2,0,0,2,1.033.734,0,0
25-May,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,259,SERVICE BANKERS'S TOOLS - DWP,1,1,2,2,2,2,0,1,2,0,0,2,1.033.734,0,0
25-Jun,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,259,SERVICE BANKERS'S TOOLS - DWP,1,1,1,1,3,3,0,2,2,0,0,2,1.033.734,0,0
25-Jul,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,259,SERVICE BANKERS'S TOOLS - DWP,1,1,1,1,0,0,0,2,2,0,0,2,1.033.750,0,0
25-Aug,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,259,SERVICE BANKERS'S TOOLS - DWP,1,1,1,1,0,0,0,2,2,0,0,2,1.033.800,0,0
25-Sep,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,259,SERVICE BANKERS'S TOOLS - DWP,1,1,1,1,0,0,0,2,2,0,0,2,1.033.800,0,0
25-Mar,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,260,DIGITAL SIGNING,1,0,1,1,7,7,1,1,0,0,0,0,26.595,0,0
25-Apr,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,260,DIGITAL SIGNING,1,1,1,1,0,0,1,1,0,0,0,0,46.569,0,0
25-May,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,260,DIGITAL SIGNING,1,1,1,1,0,0,1,1,0,0,0,0,66.419,0,0
25-Jun,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,260,DIGITAL SIGNING,1,1,1,1,5,8,1,1,0,0,0,0,72.061,0,0
25-Jul,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,260,DIGITAL SIGNING,1,1,1,1,0,0,1,1,0,0,0,0,74.112,0,0
25-Aug,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,260,DIGITAL SIGNING,1,1,1,1,0,0,1,1,0,0,0,0,75.613,0,0
25-Sep,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,260,DIGITAL SIGNING,1,1,1,1,0,0,1,1,0,0,0,0,75.613,0,0
